Rank;#Papers;Author;
1;6;Scanniello, G.;
2;3;Felizardo, K.R.;
3;3;Fucci, D.;
4;2;Kalinowski, M.;
5;2;Fernández-Sáez, A.M.;
6;2;Quesada-López, C.;
7;2;Solari, M.;
8;2;Fernández, D.M.;
9;2;Penzenstadler, B.;
10;2;Farooq, S.U.;
11;1;Fittkau, F.;
12;1;Chatterji, D.;
13;1;Herbold, S.;
14;1;Siebra, C.A.;
15;1;Gravino, C.;
16;1;Sun, P.;
17;1;de Mello, R.M.;
18;1;Albayrak, O.;
19;1;Reimanis, D.;
20;1;Javed, M.A.;
21;1;Yang, H;
22;1;Reynares, E.;
23;1;Howison, J.;
24;1;Salleh, N.;
25;1;Riaz, M.;
26;1;Parrilla, A;
27;1;Pow-Sang, J;
28;1;Tramontana, P.;
29;1;Juristo, N.;
30;1;Felderer, M.;
31;1;Ali, S.;
32;1;Hadar, I.;
33;1;Jung, J.;
34;1;Sun, W.;
35;1;Idri, A.;
36;1;Vegas, S.;
37;1;Massey, A.K.;
38;1;Wohlin, C;
39;1;Grbac, T.G.;
40;1;Gómez, M.N.;
41;1;Vetrò, A.;
42;1;Runeson, P.;
43;1;Itkonen, J.;
44;1;Cavalcanti, G.;
45;1;Arar, Ö.F.;
46;1;Chen, X.;
47;1;Morrison, B.B.;
48;1;Ricca, F.;
49;1;Apa, C.;
50;1;Engelsman, W.;
51;1;Ribeiro, M.;
52;1;Haaranen, L.;
53;1;Ar;
54;1;Ceccato, M.;
55;1;Niu, N.;
56;1;Bavota, G.;
57;1;Marcolino, A.;
58;1;Acuña, S.T.;
59;1;Ghotra, B.;
60;1;Brooks, A.;
61;1;Krein, J.L.;
62;1;Wu, F;
63;1;França, A.C.C.;
64;1;Callele, D.;
65;1;Harder, J.;
66;1;Da Silva, F.Q.B.;
67;1;Bernárdez, B.;
68;1;Donadelli, S.M.;
69;1;Huijgens, H.;
70;1;Santos, J.A.M.;
71;1;Lenarduzzi, V.;
72;1;Mauša, G.;
