Rank;#Papers;Institution;SU;QE;EX;
1;11;TypeError: undefined is not an object (evaluating 'document.getElementsByClassName("gsc_oai_eml")[0].textContent')  undefined:2  :4null;0;2;7;
2;6;unibas.it;0;0;6;
3;4;;2;0;0;
4;3;utfpr.edu.br;0;0;3;
5;3;informatik.uni-hamburg.de;0;0;3;
6;2;uok.edu.in;0;0;2;
7;2;csulb.edu;0;0;0;
8;2;aalto.fi;0;0;2;
9;2;ort.edu.uy;0;0;1;
10;2;dm.uba.ar;2;0;0;
11;2;uni-hamburg.de;2;0;0;
12;2;cin.ufpe.br;0;0;1;
13;2;riteh.hr;0;0;0;
14;1;usp.br;0;0;1;
15;1;berkeley.edu;0;0;1;
16;1;cs.lth.se;0;0;1;
17;1;usi.ch;0;0;1;
18;1;impcas.ac.cn;0;0;1;
19;1;ischool.utexas.edu;0;0;0;
20;1;dermatology.uni-kiel.de;0;0;1;
21;1;korea.ac.kr;0;0;1;
22;1;ucm.es;0;0;1;
23;1;dsm.com;0;0;1;
24;1;frsf.utn.edu.ar;0;0;1;
25;1;unlv.edu;0;0;1;
26;1;nrel.gov;0;0;1;
27;1;merl.com;1;0;0;
28;1;isye.gatech.edu;0;0;0;
29;1;bth.se;0;0;1;
30;1;phys.cmu.edu;0;0;1;
31;1;unibz.it;0;0;0;
32;1;pucp.pe;0;0;1;
33;1;msu.montana.edu;0;0;0;
34;1;sjtu.edu.cn;0;0;1;
35;1;ucd.ie;1;0;0;
36;1;uibk.ac.at;0;0;1;
37;1;bilgi.edu.tr;0;0;1;
38;1;umn.edu;0;1;0;
39;1;tudelft.nl;0;0;0;
40;1;fisica.ufmg.br;0;0;1;
41;1;utexas.edu;0;0;1;
42;1;cheme.utm.my;0;0;1;
43;1;is.haifa.ac.il;0;0;1;
44;1;unr.edu.ar;0;0;1;
45;1;email.arizona.edu;0;0;0;
46;1;cs.uni-goettingen.de;0;0;0;
47;1;ogr.sakarya.edu.tr;0;0;0;
48;1;unisa.it;0;0;1;
49;1;ppi.de;0;0;1;
50;1;massey.ac.nz;0;0;0;
51;1;uefs.br;0;0;1;
52;1;unina.it;0;0;1;
53;1;dowling.edu;0;0;1;
54;1;sbumed.org;0;0;1;
55;1;fi.upm.es;0;0;1;
56;1;mat.unical.it;0;0;1;
57;1;alumni.ubc.ca;0;0;1;
58;1;nano.ku.dk;0;0;1;
