Rank;#Papers;Name;Acronym;SU;QE;EX;
1;12;null;Empirical Software Engineering;1;1;9;
2;8;null;Information and Software Technology;1;1;4;
3;4;null;ACM Transactions on Software Engineering and Methodology;0;0;4;
4;3;null;IEEE Transactions on Software Engineering;0;0;2;
5;2;null;Journal of Visual Languages and Computing;0;0;2;
6;2;null;Advanced Materials Research;0;0;1;
7;2;null;Software and Systems Modeling;0;0;2;
8;1;null;RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao;0;0;1;
9;1;null;Applied Soft Computing Journal;0;0;0;
10;1;null;Software Quality Journal;0;0;0;
11;1;null;Advances in Intelligent Systems and Computing;0;0;1;
12;1;null;Journal of software: Evolution and Process;0;0;1;
13;1;null;International Journal of Software Engineering and Knowledge Engineering;0;0;1;
14;1;null;MIS Quarterly: Management Information Systems;0;0;0;
15;1;null;Journal of Systems and Software;0;0;1;
16;1;null;Expert Systems with Applications;0;0;0;
